[2026-06-06 00:10:24.915] [INFO ] [METRICS] TickAvg: 3.172µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:10:29.914] [INFO ] [METRICS] TickAvg: 3.169µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:10:34.916] [INFO ] [METRICS] TickAvg: 3.167µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:10:39.914] [INFO ] [METRICS] TickAvg: 3.165µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:10:44.914] [INFO ] [METRICS] TickAvg: 3.165µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:10:49.914] [INFO ] [METRICS] TickAvg: 3.163µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:10:54.914] [INFO ] [METRICS] TickAvg: 3.161µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:10:59.914] [INFO ] [METRICS] TickAvg: 3.158µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:11:04.916] [INFO ] [METRICS] TickAvg: 3.156µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:11:09.914] [INFO ] [METRICS] TickAvg: 3.158µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:11:14.914] [INFO ] [METRICS] TickAvg: 3.156µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:11:19.914] [INFO ] [METRICS] TickAvg: 3.153µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:11:24.914] [INFO ] [METRICS] TickAvg: 3.153µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:11:29.915] [INFO ] [METRICS] TickAvg: 3.151µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:11:34.926] [INFO ] [METRICS] TickAvg: 3.148µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:11:39.914] [INFO ] [METRICS] TickAvg: 3.166µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:11:44.914] [INFO ] [METRICS] TickAvg: 3.163µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
[2026-06-06 00:11:49.927] [INFO ] [METRICS] TickAvg: 3.161µs | HeapAlloc: 3 MB | GC: 0 | Goroutines: 117 | AOI/s: 0 | Broadcast/s: 0
